time_utc,sat,signal_code,station,CN0_dBHz
2025-01-01 00:00:00.000,C02,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.91
2025-01-01 00:00:00.000,C05,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.47
2025-01-01 00:00:00.000,C06,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,35.34
2025-01-01 00:00:00.000,C07,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,32.94
2025-01-01 00:00:00.000,C09,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.97
2025-01-01 00:00:00.000,C10,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.00
2025-01-01 00:00:00.000,C13,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,25.25
2025-01-01 00:00:00.000,C16,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.19
2025-01-01 00:00:00.000,C20,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.00
2025-01-01 00:00:00.000,C23,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,37.81
2025-01-01 00:00:00.000,C27,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,52.34
2025-01-01 00:00:00.000,C28,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.28
2025-01-01 00:00:00.000,C30,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,48.78
2025-01-01 00:00:00.000,C32,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.88
2025-01-01 00:00:30.000,C02,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,41.06
2025-01-01 00:00:30.000,C05,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.41
2025-01-01 00:00:30.000,C06,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.53
2025-01-01 00:00:30.000,C07,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,33.47
2025-01-01 00:00:30.000,C09,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.50
2025-01-01 00:00:30.000,C10,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.31
2025-01-01 00:00:30.000,C13,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,27.59
2025-01-01 00:00:30.000,C16,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.84
2025-01-01 00:00:30.000,C20,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.66
2025-01-01 00:00:30.000,C23,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.44
2025-01-01 00:00:30.000,C27,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,52.38
2025-01-01 00:00:30.000,C28,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.94
2025-01-01 00:00:30.000,C30,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,48.81
2025-01-01 00:00:30.000,C32,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,35.09
2025-01-01 00:01:00.000,C02,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.66
2025-01-01 00:01:00.000,C05,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.19
2025-01-01 00:01:00.000,C06,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.06
2025-01-01 00:01:00.000,C07,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,31.66
2025-01-01 00:01:00.000,C09,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.06
2025-01-01 00:01:00.000,C10,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.75
2025-01-01 00:01:00.000,C13,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,28.09
2025-01-01 00:01:00.000,C16,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.22
2025-01-01 00:01:00.000,C20,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.78
2025-01-01 00:01:00.000,C23,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,34.69
2025-01-01 00:01:00.000,C27,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,52.22
2025-01-01 00:01:00.000,C28,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.66
2025-01-01 00:01:00.000,C30,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,48.66
2025-01-01 00:01:00.000,C32,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,34.28
2025-01-01 00:01:30.000,C02,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.81
2025-01-01 00:01:30.000,C05,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.34
2025-01-01 00:01:30.000,C06,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.69
2025-01-01 00:01:30.000,C07,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,32.00
2025-01-01 00:01:30.000,C09,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.94
2025-01-01 00:01:30.000,C10,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.78
2025-01-01 00:01:30.000,C13,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,27.28
2025-01-01 00:01:30.000,C16,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.31
2025-01-01 00:01:30.000,C20,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.38
2025-01-01 00:01:30.000,C23,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.16
2025-01-01 00:01:30.000,C27,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,52.47
2025-01-01 00:01:30.000,C28,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.62
2025-01-01 00:01:30.000,C30,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,48.97
2025-01-01 00:01:30.000,C32,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.56
2025-01-01 00:02:00.000,C02,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.78
2025-01-01 00:02:00.000,C05,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.00
2025-01-01 00:02:00.000,C06,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.38
2025-01-01 00:02:00.000,C07,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,31.53
2025-01-01 00:02:00.000,C09,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.56
2025-01-01 00:02:00.000,C10,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.72
2025-01-01 00:02:00.000,C13,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,28.28
2025-01-01 00:02:00.000,C16,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.75
2025-01-01 00:02:00.000,C20,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.47
2025-01-01 00:02:00.000,C23,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.56
2025-01-01 00:02:00.000,C27,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,52.12
2025-01-01 00:02:00.000,C28,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.28
2025-01-01 00:02:00.000,C30,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,48.56
2025-01-01 00:02:00.000,C32,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,37.91
2025-01-01 00:02:30.000,C02,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.84
2025-01-01 00:02:30.000,C05,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.31
2025-01-01 00:02:30.000,C06,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.97
2025-01-01 00:02:30.000,C07,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,32.16
2025-01-01 00:02:30.000,C09,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.00
2025-01-01 00:02:30.000,C10,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.47
2025-01-01 00:02:30.000,C13,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,28.84
2025-01-01 00:02:30.000,C16,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.69
2025-01-01 00:02:30.000,C20,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.22
2025-01-01 00:02:30.000,C23,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.81
2025-01-01 00:02:30.000,C27,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,52.44
2025-01-01 00:02:30.000,C28,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.47
2025-01-01 00:02:30.000,C30,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,49.19
2025-01-01 00:02:30.000,C32,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,37.69
2025-01-01 00:03:00.000,C02,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.94
2025-01-01 00:03:00.000,C05,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.34
2025-01-01 00:03:00.000,C06,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,37.03
2025-01-01 00:03:00.000,C07,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,32.09
2025-01-01 00:03:00.000,C09,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.12
2025-01-01 00:03:00.000,C10,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,39.16
2025-01-01 00:03:00.000,C13,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,29.78
2025-01-01 00:03:00.000,C16,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,38.53
2025-01-01 00:03:00.000,C20,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.38
2025-01-01 00:03:00.000,C23,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,37.75
2025-01-01 00:03:00.000,C27,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,52.44
2025-01-01 00:03:00.000,C28,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.47
2025-01-01 00:03:00.000,C30,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,48.94
2025-01-01 00:03:00.000,C32,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.59
2025-01-01 00:03:30.000,C02,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,40.84
2025-01-01 00:03:30.000,C05,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,46.09
2025-01-01 00:03:30.000,C06,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,36.88
2025-01-01 00:03:30.000,C07,S2I,ABPO00MDG_R_20250010000_01D_30S_MO,32.31
